csv,mp4,new_csv,new_mp4,vfa,vfa_changed_name
07-27-23-Z-L-15-50p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-27-23-Z-L-15-50p-TOT-2nd.mp4,mice25_dlc.csv,mice25.mp4,mice25.csv,07-27-2023-Z-L-15-50p-TOT-2nd.csv
07-27-23-Z-N-13-80p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-27-23-Z-N-13-80p-TOT-2nd.mp4,mice26_dlc.csv,mice26.mp4,mice26.csv,07-27-2023-Z-N-13-80p-TOT-2nd.csv
07-27-23-Z-R-16-20p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-27-23-Z-R-16-20p-TOT-2nd.mp4,mice27_dlc.csv,mice27.mp4,mice27.csv,07-27-2023-Z-R-16-20p-TOT-2nd.csv
07-27-23-Z-RL-14-80p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-27-23-Z-RL-14-80p-TOT-2nd.mp4,mice28_dlc.csv,mice28.mp4,mice28.csv,07-27-2023-Z-RL-14-80p-TOT-2nd.csv
08-01-23-A-L-2-AMPH-0.6mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-01-23-A-L-2-AMPH-0.6mpk-20p.mp4,mice29_dlc.csv,mice29.mp4,mice29.csv,08-01-2023-A-L-2-AMPH-0.6mpk-20p.csv
08-01-23-A-N-4-AMPH-1mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-01-23-A-N-4-AMPH-1mpk-20p.mp4,mice30_dlc.csv,mice30.mp4,mice30.csv,08-01-2023-A-N-4-AMPH-1mpk-20p.csv
08-01-23-A-R-1-AMPH-0.3mpk-80pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-01-23-A-R-1-AMPH-0.3mpk-80p.mp4,mice31_dlc.csv,mice31.mp4,mice31.csv,08-01-2023-A-R-1-AMPH-0.3mpk-80p.csv
08-01-23-B-RL-6-50p-TOT-3rdDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-01-23-B-RL-6-50p-TOT-3rd.mp4,mice32_dlc.csv,mice32.mp4,mice32.csv,08-01-2023-B-RL-6-50p-TOT-3rd.csv
08-01-23-X-N-5-20p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,08-01-23-X-N-5-20p-TOT-1st.mp4,mice33_dlc.csv,mice33.mp4,mice33.csv,08-01-2023-X-N-5-20p-TOT-1st.csv
08-01-23-Y-RL-11-50p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,08-01-23-Y-RL-11-50p-TOT-1st.mp4,mice34_dlc.csv,mice34.mp4,mice34.csv,08-01-2023-Y-RL-11-50p-TOT-1st.csv
08-03-23-A-L-2-AMPH-1mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-03-23-A-L-2-AMPH-1mpk-20p.mp4,mice35_dlc.csv,mice35.mp4,mice35.csv,08-03-2023-A-L-2-AMPH-1mpk-20p.csv
08-03-23-A-N-4-AMPH-0.6mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-03-23-A-N-4-AMPH-0.6mpk-20p.mp4,mice36_dlc.csv,mice36.mp4,mice36.csv,08-03-2023-A-N-4-AMPH-0.6mpk-20p.csv
08-03-23-A-R-1-AMPH-vehicle-80pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-03-23-A-R-1-AMPH-vehicle-80p.mp4,mice37_dlc.csv,mice37.mp4,mice37.csv,08-03-2023-A-R-1-AMPH-vehicle-80p.csv
08-03-23-B-RL-6-50p-TOT-4thDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-03-23-B-RL-6-50p-TOT-4th.mp4,mice38_dlc.csv,mice38.mp4,mice38.csv,08-03-2023-B-RL-6-50p-TOT-4th.csv
08-03-23-X-N-5-20p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,08-03-23-X-N-5-20p-TOT-2nd.mp4,mice39_dlc.csv,mice39.mp4,mice39.csv,08-03-2023-X-N-5-20p-TOT-2nd.csv
08-03-23-Y-RL-11-50p-TOT-2ndDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,08-03-23-Y-RL-11-50p-TOT-2nd.mp4,mice40_dlc.csv,mice40.mp4,mice40.csv,08-03-2023-Y-RL-11-50p-TOT-2nd.csv
08-08-23-A-L-2-AMPH-vehicle-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-08-23-A-L-2-AMPH-vehicle-20p.mp4,mice41_dlc.csv,mice41.mp4,mice41.csv,08-08-2023-A-L-2-AMPH-vehicle-20p.csv
